instruction,input,output
กระบวนการผลิต และผลิตภัณฑ์  การนําเถ้าไปปรับปรุงคุณภาพดินเพื่อการเกษตร และการจัดการเถ้า  ในกรณีที่ไม่มีรถจากชาวไร่มารับ ,,"ในกรณีที่ไม่มีรถจากชาวไร่มารับ จะมีรถบรรทุกของโครงการมารองรับและขนส่งไปยังบ่อขี้เถ้าที่ ทางโครงการเตรียมไว้ (ดังรูปที่ 2-21) ซึ่งรถบรรทุกจะต้องมีกระบะสี่เหลี่ยมเพื่อป้องกันการตกหล่นบนพื้น ถนนและกําหนดให้มีการคลุมผ้าใบในระหว่างการขนส่งจากยุ้งไปยังบ่อ และจํากัดความเร็วของรถบรรทุกไม่ เกิน 30 กิโลเมตร/ชั่วโมง. ลักษณะบ่อเป็นบ่อคอนกรีต เพื่อป้องกันการปนเปื้อนของเถ้าลงสู่ดิน รวมถึง ป้องกันน้ําชะเถ้าปนเปื้อนไปกับน้ําใต้ดิน มีขนาด 20 เมตร X 20 เมตร x 4 เมตร จํานวน 2 บ่อ ดังนั้น จะมี 
ความจุรวมเท่ากับ 3,200 ลูกบาศก์เมตร สามารถเก็บขี้เถ้าได้ 1,920 ตัน และสามารถเก็บขี้เถ้าไว้ได้ทั้งหมด  52 วัน โดยการใช้งานจะสลับกันใช้ทีละบ่อ เมื่อบ่อหนึ่งเต็มจะประสานให้ชาวไร่มาขนออกไปทําเป็นสาร ปรับปรุงคุณภาพดิน และใช้อีกบ่อหนึ่งแทน "
กระบวนการผลิต และผลิตภัณฑ์  การนําเถ้าไปปรับปรุงคุณภาพดินเพื่อการเกษตร และการจัดการเถ้า  บ่อเก็บขี้เถ้าของโครงการ ,,"บ่อเก็บขี้เถ้าของโครงการ (ดังรูปที่ 2-21) ได้เตรียมไว้ใช้ในกรณีที่ไม่มีรถจากชาวไร่มารับขี้เถ้าไปใช้ เป็นสารปรับปรุงคุณภาพดิน โดยเตรียมบ่อเก็บขี้เถ้าไว้รองรับการขนเถ้าจากรถบรรทุกของโครงการ ซึ่ง รถบรรทุกจะต้องมีกระบะสี่เหลี่ยมเพื่อป้องกันการตกหล่นบนพื้นถนน และกําหนดให้คลุมผ้าใบในระหว่าง การขนส่งจากยุ้งไปยังบ่อ และจํากัดความเร็วของรถบรรทุกให้ไม่เกิน 30 กิโลเมตร/ชั่วโมง ลักษณะของบ่อ เป็นบ่อคอนกรีต ทั้งนี้เพื่อป้องกันการปนเปื้อนของเถ้าลงสู่ดิน รวมถึงป้องกันน้ําชะเถ้าที่อาจปนเปื้อนไปกับ น้ําใต้ดินได้ โดยบ่อมีขนาด 20 เมตร X 20 เมตร x 4 เมตร จํานวน 2 บ่อ การประเมินความเพียงพอของบ่อ เก็บขี้เถ้า สามารถคํานวณได้ ดังนี้  
ปริมาณเถ้าหนักที่เกิดขึ้นของโครงการ = 0.153 ตัน/ชั่วโมง  ปริมาณเถ้าเบาที่เกิดขึ้นของโครงการ = 1.377 ตัน/ชั่วโมง  
ดังนั้น ปริมาณขี้เถ้าที่เกิดขึ้นของโครงการ = 1.53 ตัน/ชั่วโมง  
 = 1.53 x 24  
 = 36.72 ตัน/วัน  เมื่อ ความหนาแน่นของเถ้า = 0.6 ตัน/ลูกบาศก์เมตร  
(ที่มา : รายงานการวิเคราะห์ผลกระทบสิ่งแวดล้อมของบริษัท น้ําตาลไทยเอกลักษณ์ จํากัด)  
ดังนั้น บ่อเก็บขี้เถ้า 1 บ่อ : สามารถเก็บขี้เถ้าได้ = (20 เมตร x 20 เมตร x 4 เมตร) x 0.6 ตัน/ลูกบาศก์เมตร   = 960 ตัน  
 สามารถรองรับขี้เถ้าได้ = 960 ตัน / 36.72 ตัน/วัน   = 26 วัน  
ดังนั้นโครงการจะมีบ่อขี้เถ้าที่มีความจุรวมเท่ากับ 3,200 ลูกบาศก์เมตร สามารถเก็บขี้เถ้าได้ 1,920  ตัน และสามารถเก็บขี้เถ้าไว้ได้ทั้งหมด 52 วัน โดยการใช้งานจะสลับกันใช้ทีละบ่อ เมื่อบ่อหนึ่งเต็มจะ ประสานให้ชาวไร่มาขนออกไปทําเป็นสารปรับปรุงคุณภาพดิน และใช้อีกบ่อหนึ่งแทน  "
กระบวนการผลิต และผลิตภัณฑ์  การนําเถ้าไปปรับปรุงคุณภาพดินเพื่อการเกษตร และการจัดการเถ้า  มาตรการในการป้องกันฝุ่นขี้เถ้าฟุ้งกระจายบริเวณบ่อเก็บขี้เถ้า มีดังนี้  ,,"มาตรการในการป้องกันฝุ่นขี้เถ้าฟุ้งกระจายบริเวณบ่อเก็บขี้เถ้า มีดังนี้  
1. กําหนดให้มีการพรมน้ําวันละ 2 ครั้ง เช้า-เย็น โดยความถี่อาจปรับเพิ่มขึ้นหรือลดลงตาม สถานการณ์ เพื่อการป้องกันการฟุ้งกระจายของฝุ่นเถ้าบริเวณบ่อ ให้เกิดประสิทธิภาพสูงสุด โดยน้ําที่นํามา พรมจะเป็นน้ําหมุนเวียนบําบัด จากระบบบําบัดน้ําเสียของโครงการ เป็นการใช้ทรัพยากรน้ําอย่างคุ้มค่ามาก ที่สุด  
2. ปลูกต้นไม้ทรงสูงโตเร็ว เช่น ต้นสน และใช้ไม้ขนาดกลางหรือไม้ขนาดใหญ่ในการปลูก โดยเริ่ม ดําเนินการปลูกตั้งแต่ในระยะก่อสร้าง เพื่อให้สามารถดําเนินการป้องกันฝุ่นได้ในระยะเวลาอันรวดเร็ว ซึ่งจะ ทําการปลูกโดยวิธีการปลูกต้นไม้เป็นแถวสลับฟันปลา 3 แถว โดยรอบบริเวณบ่อเก็บขี้เถ้า ทั้ง 2 บ่อ ในช่วง ระยะเวลาการเดินเครื่องจักร 2 ปีแรก ขณะที่ต้นไม้ยังไม่โตพอที่จะสามารถป้องกันฝุ่นได้ จะมีการนําตาข่าย ชะลอลมและดักฝุ่นมากั้นชั่วคราว เพื่อป้องกันไม่ให้ฝุ่นฟุ้งกระจาย"
กระบวนการผลิต และผลิตภัณฑ์  การนําเถ้าไปปรับปรุงคุณภาพดินเพื่อการเกษตร และการจัดการเถ้า  มาตรการป้องกันและการจัดการการปนเปื้อนเถ้าและน้ําชะลานกองเถ้าสู่สิ่งแวดล้อมบริเวณบ่อ เก็บขี้เถ้า  ,,"มาตรการป้องกันและการจัดการการปนเปื้อนเถ้าและน้ําชะลานกองเถ้าสู่สิ่งแวดล้อมบริเวณบ่อ เก็บขี้เถ้า  
1. ทางโครงการใช้บ่อขี้เถ้าที่เป็นบ่อคอนกรีต สามารถป้องกันการปนเปื้อนของเถ้าลงสู่ดินและ ป้องกันน้ําชะเถ้าซึมไปปนเปื้อนกับน้ําผิวดินและน้ําใต้ดินได้  
2. บริเวณขอบบ่อ (ระดับพื้นดิน) มีการสร้างคันคอนกรีตสูงขึ้นมา 3 เมตร สามารถป้องกันน้ําฝน หลากลงสู่บ่อเก็บขี้เถ้าได้ และยังป้องกันน้ําชะเถ้าล้นออกนอกบ่อได้อีก  
3. ในกรณีที่น้ําชะเถ้ามีปริมาณมากหรือมีฝนตกลงในบ่อโดยตรงทําให้มีน้ําเพิ่มขึ้น จะทําการสูบน้ํา จากบ่อขี้เถ้าแล้วหมุนเวียนกลับไปเป็นน้ําพรมขี้เถ้าในโครงการอีกครั้ง  "
ระบบสาธารณูปโภค-สาธารณูปการ  ,,ระบบสาธารณูปโภคและสาธารณูปการทางโครงการมีการใช้ร่วมกันกับบริษัท เกษตรไทย อุตสาหกรรมน้ําตาล จํากัด ประกอบด้วย การใช้น้ําดิบ น้ําหมุนเวียนบําบัด ถนนทางเข้า-ออก ชานอ้อย ลาน กองเก็บชานอ้อย และท่อน้ําดับเพลิง (แสดงผังการเชื่อมโยงระบบสาธารณูปโภคต่างๆ ดังรูปที่ 2-27 ) ซึ่งมี รายละเอียดดังนี้ 
ระบบสาธารณูปโภค-สาธารณูปการ  น้ําดิบ ,,"น้ําดิบที่ใช้ของโครงการจะนํามาจากบ่อน้ําดิบของบริษัท เกษตรไทยอุตสาหกรรมน้ําตาล  จํากัด โดยจําหน่ายให้กับโครงการในอัตราลูกบาศก์เมตรละ 5 บาท ตามสัญญาซื้อ-ขายน้ําดิบ (ภาคผนวก 2 ข) ดังนั้น แหล่งที่มาน้ําใช้ของโครงการ จึงเป็นแหล่งเดียวกับของบริษัท เกษตรไทยอุตสาหกรรมน้ําตาล  จํากัด ซึ่งใช้เป็นแหล่งน้ําหลักของโครงการ (ดังรูปที่ 2-22) และในกรณีที่น้ําจากบ่อน้ําดิบของบริษัท เกษตร ไทยอุตสาหกรรมน้ําตาล จํากัด ไม่เพียงพอ จะมีแหล่งน้ําสํารอง ได้แก่ บ่อน้ําดิบของ บริษัท เอ็นไวรอนเมนท์ พัลพ์ แอนด์ เปเปอร์ จํากัด โดยทําการซื้อ-ขายในอัตราเดียวกันกับอัตราซื้อ-ขายกับบริษัท เกษตรไทย อุตสาหกรรมน้ําตาล จํากัด ตามสัญญาซื้อ-ขายน้ําดิบ (ภาคผนวก 2ข)  
โดยความต้องการของน้ําดิบที่ใช้ในโครงการมีจํานวน 472,567.38 ลูกบาศก์เมตร/ปี ซึ่งจะ นําเสนอรายละเอียดต่อไป  "
ระบบสาธารณูปโภค-สาธารณูปการ  น้ําหมุนเวียนบําบัด  ,,"น้ําเสียจากกระบวนการผลิต ประกอบด้วยน้ําเสียที่มาจากกระบวนการผลิต ใน 2 ส่วน ได้แก่  น้ํา Blow down จากหม้อไอน้ํา และ น้ํา Drain cooling จากหอหล่อเย็น ซึ่งน้ําเสียทั้ง 2 ส่วนนี้จะถูก รวบรวมลงสู่ระบบบําบัดของน้ําเสียของโครงการเช่นกัน ดังรูปที่ 2-23  
สําหรับน้ําทิ้งจากกระบวนการผลิตนั้นจะหมุนเวียนกลับมาใช้ใหม่ในกิจกรรมต่างๆ ส่วนน้ําทิ้ง จากสํานักงานจะปล่อยให้ซึมลงดินตามธรรมชาติ  - นําไปพรมกองเก็บชานอ้อย ของบริษัท เกษตรไทยอุตสาหกรรมน้ําตาล จํากัด โดยน้ําส่วนนี้ หลังจากพรมชานอ้อยแล้วจะระเหยออกไปในบรรยากาศทั้งหมด จึงไม่เป็นการเพิ่มปริมาณน้ําเสียให้กับ ระบบบําบัดน้ําเสียของบริษัท เกษตรไทยอุตสาหกรรมน้ําตาล จํากัด  
โดยในการนําน้ํากลับมาใช้ใหม่นั้น จะทําการปั๊มน้ําจากบ่อบําบัดน้ําเสียบ่อสุดท้ายไปตาม ระบบท่อน้ําหมุนเวียนบําบัด ดังแสดงในรูปที่ 2-24 ซึ่งจะมีระบบหัวพ่นน้ํา (Sprinkler) ฉีดพรมบริเวณลาน กองเก็บชานอ้อยและบ่อขี้เถ้า รวมถึงน้ําที่ใช้ในการรดน้ําต้นไม้ โดยจะต่อจากจุดจ่ายน้ําที่จัดเตรียมไว้ออกไป นั่นเอง โดยรายละเอียดน้ําหมุนเวียนบําบัด มีดังนี้  - นําไปใช้ในส่วนของการรดน้ําต้นไม้ในโครงการ ซึ่งเป็นพื้นที่สีเขียวของโครงการ  
- ใช้เป็นน้ําพรมดักเถ้าหนักจากหม้อไอน้ํา "
ระบบสาธารณูปโภค-สาธารณูปการ  ถนนทางเข้า-ออกโครงการ  ,,ทางเข้าโครงการจากถนนสายเอเชีย (ทางหลวงหมายเลข 32) ทิศทางจากกรุงเทพมหานคร  ขึ้นสู่จังหวัดนครสวรรค์ เมื่อถึงแยกหางน้ําสาคร-หนองโพ แล้วเลี้ยวขวาเข้าสู่ถนนหมายเลข 3212 ประมาณ  10 กิโลเมตร จะถึงทางเข้าพื้นที่โครงการ ให้เลี้ยวซ้ายเข้าถนนซึ่งเป็นถนนสาธารณะอีกประมาณ 4 กิโลเมตร  จะถึงเขตโครงการ(ดังรูปที่ 2-25) โดยพื้นที่ที่ผ่านเข้ามาเป็นพื้นที่อยู่ในเขตของบริษัท เกษตรไทย อุตสาหกรรมน้ําตาล จํากัด โดยมีหนังสือแสดงความยินยอมให้ผ่านทาง (ภาคผนวก 2ง)  
ระบบสาธารณูปโภค-สาธารณูปการ  ชานอ้อย  ,,"ชานอ้อย ซึ่งเป็นวัตถุดิบของโครงการจะถูกเก็บไว้ที่ลานกองเก็บชานอ้อยของบริษัท เกษตร ไทยอุตสาหกรรมน้ําตาล จํากัด เพื่อส่งให้โครงการใช้ในการผลิตกระแสไฟฟ้าในฤดูหีบอ้อยเท่ากับ 360,000  ตัน ฤดูละลายน้ําตาลเท่ากับ 108,000 ตัน และในฤดูซ่อมแซมของโรงงานน้ําตาลเท่ากับ 103,230 ตัน  รวมทั้งปีเท่ากับ 571,230 ตัน "
ระบบสาธารณูปโภค-สาธารณูปการ  ลานกองเก็บชานอ้อย  ,,โครงการจะใช้ชานอ้อยซึ่งทางบริษัท เกษตรไทยอุตสาหกรรมน้ําตาล จํากัด เป็นผู้จัดส่งให้ผ่าน ระบบสายพานลําเลียงแบบปิดมาจากลานกองเก็บชานอ้อยซึ่งอยู่ในพื้นที่บริเวณของบริษัท เกษตรไทย อุตสาหกรรมน้ําตาล จํากัด ดังนั้น ผู้ดูแลรับผิดชอบการจัดการลานกองเก็บชานอ้อย (ดังรูปที่ 2-26) จึงเป็น หน้าที่ของบริษัท เกษตรไทยอุตสาหกรรมน้ําตาล จํากัด
ระบบสาธารณูปโภค-สาธารณูปการ  ท่อน้ําดับเพลิง  ,,โครงการกําหนดให้ติดตั้งอุปกรณ์ป้องกันและระบบระงับอัคคีภัยต่างๆ ภายในและภายนอก อาคาร เป็นไปตามมาตรฐาน National Fire Protection Association (NFPA) ในส่วนของแหล่งน้ํา ดับเพลิง จะใช้น้ําจากบ่อน้ําดิบบ่อที่ 2 (รูปที่ 2-22) ซึ่งเป็นบ่อน้ําดิบของบริษัท เกษตรไทยอุตสาหกรรม น้ําตาล จํากัด ทั้งนี้หลังจากดําเนินการโครงการ จะไม่ทําให้อุปกรณ์ป้องกันและระงับอัคคีภัยเปลี่ยนแปลงไป  เนื่องจากมีระบบเดิมของบริษัท เกษตรไทยอุตสาหกรรมน้ําตาล จํากัด อยู่แล้วและยังได้จัดอุปกรณ์ป้องกัน ภัยส่วนบุคคลของโครงการเพิ่มเติม สําหรับรายละเอียดอุปกรณ์ในการป้องกันและระงับอัคคีภัย
ระบบสาธารณูปโภค-สาธารณูปการ  น้ําดิบ  ,,ปริมาณการใช้น้ําในระบบสามารถแสดงในภาพสมดุลน้ําของโครงการ โดยแบ่งตามฤดูหีบอ้อยและ ฤดูละลายน้ําตาล ดังแสดงในรูปที่ 2-28 และฤดูซ่อมแซมของโรงงานน้ําตาล ดังแสดงในรูปที่ 2-29 โดย กระบวนการผลิตน้ําใช้ในโครงการ มีรายละเอียด ดังนี้  
ระบบสาธารณูปโภค-สาธารณูปการ  น้ําดิบ  1. ระบบผลิตน้ําใส (Clear Water)  ,,"ระบบผลิตน้ําใสของโครงการมีกําลังการผลิต เท่ากับ 9,600 ลูกบาศก์เมตร/วัน โดยจะทําการผลิต น้ําใสในฤดูหีบอ้อยและฤดูละลายน้ําตาล เท่ากับ 1,553.50 ลูกบาศก์เมตร/วัน และฤดูซ่อมแซมของโรงงาน น้ําตาล 3,678.70 ลูกบาศก์เมตร/วัน โดยเริ่มจาก ทําการสูบน้ําดิบจากบ่อพักของ บริษัท เกษตรไทย อุตสาหกรรมน้ําตาล จํากัด ผ่านเข้าถัง Clarify และระบบกรองทราย จะได้น้ําที่เรียกว่า น้ําใส น้ําในส่วนนี้จะ ถูกนําไปใช้ แบ่งเป็น 3 ส่วน คือ  
- นําไปใช้ที่ระบบ Cooling Tower เพื่อใช้ในการชดเชย โดยในฤดูหีบอ้อยและฤดูละลายน้ําตาล เท่ากับ 1,449.00 ลูกบาศก์เมตร/วัน และฤดูซ่อมแซมของโรงงานน้ําตาลเท่ากับ 3,578.40 ลูกบาศก์เมตร/ วัน ซึ่งน้ําส่วนหนึ่งจะระเหยออกไป และอีกส่วนหนึ่งจะทําการ Drain ออกเพื่อปรับสภาพน้ํา โดยน้ํา Drain  Cooling นี้จะถูกรวบรวมลงสู่ระบบบําบัดน้ําเสียของโครงการ  
- นําไปใช้เป็นน้ําใช้สํานักงานโดยในฤดูหีบอ้อย ฤดูละลายน้ําตาล และฤดูซ่อมแซมของโรงงาน น้ําตาลจะใช้ในปริมาณที่เท่ากัน คือ 7.8 ลูกบาศก์เมตร/วัน โดยน้ําเสียจากสํานักงานจะถูกบําบัดโดยถัง บําบัดน้ําเสียสําเร็จรูป (Septic - Bio Film) โดยหลังจากผ่านการบําบัดแล้ว จะถูกปล่อยซึมลงดินตาม ธรรมชาติ  
- นําไปยังกระบวนการผลิตน้ําบริสุทธิ์สําหรับใช้ในหม้อไอน้ํา โดยจะถูกเก็บไว้ใน Storage Tank  ก่อนเข้าไปใช้ใน Boiler ต่อไป ในฤดูหีบอ้อยและฤดูละลายน้ําตาลเท่ากับ 96.70 ลูกบาศก์เมตร/วัน และฤดู ซ่อมแซมของโรงงานน้ําตาลเท่ากับ 92.50 ลูกบาศก์เมตร/วัน ซึ่งจะมีน้ํา Blowdown ของตัว Boiler ออกมา และรวบรวมลงสู่ระบบบําบัดน้ําเสียของโครงการ"
ระบบสาธารณูปโภค-สาธารณูปการ  น้ําดิบ  2. ระบบผลิตน้ําบริสุทธิ์ (Demineral Water)  ,,"ระบบผลิตน้ําบริสุทธิ์ ของโครงการมีกําลังการผลิตสูงสุด เท่ากับ 1,680 ลูกบาศก์เมตร/วัน ทําการ ผลิตน้ําบริสุทธิ์ โดยรับน้ําใส เข้ามาในฤดูหีบอ้อยและฤดูละลายน้ําตาลเท่ากับ 96.70 ลูกบาศก์เมตร/วัน และ ฤดูซ่อมแซมของโรงงานน้ําตาลเท่ากับ 92.50 ลูกบาศก์เมตร/วัน ผ่านถัง Carbon Filter เพื่อกําจัดคลอรีน  ก่อนเข้าระบบ Reverse Osmosis : RO จากนั้นจะผ่าน Mixed Bed Resin Column เพื่อกําจัดอิออนใน น้ํา จนได้น้ําที่มีความบริสุทธิ์สูง เรียกว่า น้ําบริสุทธิ์ โดยปริมาณน้ําที่จะป้อนเข้าหม้อไอน้ําในฤดูหีบอ้อยและ ฤดูละลายน้ําตาลเท่ากับ 72.00 ลูกบาศก์เมตร/วัน และฤดูซ่อมแซมของโรงงานน้ําตาลเท่ากับ 68.88  
ลูกบาศก์เมตร/วัน ในการผลิตน้ําใช้ในโครงการ (น้ําใสและน้ําบริสุทธิ์) จะเกิดกากตะกอน (Sludge) ใน กระบวนการต่างๆ รวมถึงน้ําล้างระบบ (Back wash) ซึ่งจะมีการ Drain ออกจากระบบ ลงสู่บ่อผึ่งตะกอน  (Sludge Pond) โดยปริมาณตะกอนแห้ง ( Dry Sludge) เท่ากับ 0.24 ลูกบาศก์เมตร/วัน (โดยคิดในช่วงการ  Drain ตะกอนสูงสุดของโครงการคือช่วงฤดูซ่อมแซมของโรงงานน้ําตาล) ซึ่งบ่อผึ่งตะกอนของโครงการมี ความจุ 76.50 ลูกบาศก์เมตร ดังนั้น จะสามารถเก็บกักตะกอนได้ 319 วัน จึงสามารถเก็บกักตะกอนได้"
ระบบสาธารณูปโภค-สาธารณูปการ  ระบบไฟฟ้าและพลังงาน  1) ช่วงก่อสร้าง  ,," ในช่วงก่อสร้างโครงการจะใช้ไฟฟ้าของทางโรงงานน้ําตาลโดยจะติดตั้งหม้อแปลงชั่วคราวขนาด  1000 KVA, 22 KV/400 V ภายในพื้นที่โครงการ เพื่อใช้ในการก่อสร้างต่อไป  "
ระบบสาธารณูปโภค-สาธารณูปการ  ระบบไฟฟ้าและพลังงาน  2) ช่วงดําเนินการ  ,,"ในช่วงแรกของการดําเนินโครงการจะทําการซื้อไฟฟ้าจากการไฟฟ้าส่วนภูมิภาคเพื่อใช้เองและ จําหน่ายให้กับโรงงานในกลุ่ม 3 โรงงาน ได้แก่ โรงงานน้ําตาล (KTIS), โรงงานเยื่อกระดาษ (EPPCO), และ โรงงานผลิตเอทานอล (EPC) หลังจากนั้นจะทําการผลิตเพื่อใช้เองและจําหน่ายออกไปทั้งหมด  "
ระบบสาธารณูปโภค-สาธารณูปการ  ระบบการใช้น้ํา  1) ช่วงก่อสร้าง  ,,"ในช่วงก่อสร้างคาดว่าจะใช้คนงานสูงสุดประมาณ 100 คน โดยคนงานพักอยู่ในโครงการ ประมาณ 30 คน และพักอยู่ภายนอกโครงการประมาณ 70 คน มีอัตราการใช้น้ําเพื่อการอุปโภค บริโภค  ของคนงานที่พักภายในโครงการ และนอกโครงการเท่ากับ 200 ลิตร /คน-วัน และ 50 ลิตร/คน-วัน  ตามลําดับ คิดเป็นปริมาณน้ําใช้รวม 9.5 ลูกบาศก์เมตร/วัน สําหรับน้ําใช้ในกิจกรรมก่อสร้างประมาณ 10  ลูกบาศก์เมตร/วัน รวมเป็นความต้องการใช้น้ําในส่วนนี้เท่ากับ 19.5 ลูกบาศก์เมตร/วัน โดยแหล่งน้ําใช้ของ 
คนงานและน้ําที่ใช้ในการก่อสร้างนั้น ทางโรงงานน้ําตาลจะเป็นผู้จัดส่งมาให้จากระบบประปาของโรงงาน   2) ช่วงดําเนินการ  
 (1) ปริมาณการใช้น้ํา  
 การใช้น้ําในช่วงดําเนินการจะแบ่งเป็น 2 ส่วน ได้แก่ น้ําใช้ทั่วไปสําหรับพนักงานและล้าง พื้นที่โรงงาน และน้ําใช้ในกระบวนการผลิต โดยปริมาณการใช้น้ําในช่วงฤดูเปิดหีบอ้อย ฤดูละลายน้ําตาล  และฤดูซ่อมแซม เท่ากับ 1,563.69 1,563.69 และ 3,703.80 ลูกบาศก์เมตรต่อวันตามลําดับ รวมปริมาณ 
การใช้น้ําของโครงการทั้งหมด 472,567.38 ลูกบาศก์เมตร ดังตารางที่ 2-9 โดยมีรายละเอียดดังนี้   (1.1) น้ําใช้ในการอุปโภคบริโภคของพนักงาน  
 ในช่วงดําเนินการจะมีพนักงานจํานวน 78 คน ซึ่งน้ําใช้พนักงานจะมา จากระบบผลิตน้ําของโรงงานน้ําตาลทั้งหมด ส่วนน้ําดื่มโครงการจะเป็นผู้จัดหาน้ําดื่มแบบบรรจุถังและขวด มาให้เพียงพอ  
 (1.2) น้ําใช้ในสํานักงาน  
 น้ําใช้ในสํานักงาน คาดว่าจะมีปริมาณการใช้ 25 ลูกบาศก์เมตร/วันใน แต่ละช่วงฤดู ทําให้มีปริมาณน้ําใช้รวม 6,000 ลูกบาศก์เมตร "
ระบบสาธารณูปโภค-สาธารณูปการ  ระบบการใช้น้ํา   (2) แหล่งน้ําดิบของโครงการ  ,,น้ําดิบที่ใช้ของโครงการจะนํามาจากบ่อน้ําดิบของบริษัท เกษตรไทยอุตสาหกรรมน้ําตาล  จํากัด โดยจําหน่ายให้กับโครงการในอัตราลูกบาศก์เมตรละ 5 บาท ตามสัญญาซื้อ-ขายน้ําดิบ (ภาคผนวก 2 ข) ดังนั้น แหล่งที่มาน้ําใช้ของโครงการ จึงเป็นแหล่งเดียวกับของบริษัท เกษตรไทยอุตสาหกรรมน้ําตาล  จํากัด ซึ่งใช้เป็นแหล่งน้ําหลักของโครงการ และในกรณีที่น้ําจากบ่อน้ําดิบของบริษัท เกษตรไทยอุตสาหกรรม น้ําตาล จํากัด ไม่เพียงพอต่อความต้องการ จะมีแหล่งน้ําดิบสํารอง ได้แก่ บ่อน้ําดิบของ บริษัท เอ็นไวรอน เม็นท์พัลพ์ แอนด์ เปเปอร์ จํากัด โดยทําการซื้อ-ขายในอัตราเดียวกันกับบริษัท เกษตรไทยอุตสาหกรรม น้ําตาล จํากัด ตามสัญญาซื้อ-ขายน้ําดิบ (ภาคผนวก 2ข) รายละเอียดของแหล่งน้ํามีดังนี้ 
ระบบสาธารณูปโภค-สาธารณูปการ  ระบบการใช้น้ํา  (3) การประเมินความเพียงพอของปริมาณน้ําดิบ  ,,"ปริมาณการใช้น้ําของโครงการและบริษัท เกษตรไทยอุตสาหกรรมน้ําตาล จํากัด  
(3.1) ปริมาณการใช้น้ําของบริษัท เกษตรไทยอุตสาหกรรมน้ําตาล จํากัด  
น้ําใช้มีอยู่ด้วยกัน 2 ส่วน ดังนี้  
1) น้ําหมุนเวียนบําบัด มาจากระบบบําบัดน้ําเสียบ่อสุดท้าย ที่ผ่านกระบวนการบําบัดจน ได้มาตรฐานแล้ว หมุนเวียนกลับไปใช้ในโรงงานเป็นน้ําล้างทําความสะอาดต่างๆ, รดน้ําต้นไม้, รวมถึงนําไป พรมราดถนน เพื่อลดปริมาณฝุ่นละอองในฤดูหนาวและฤดูร้อน โดยมีปริมาณการหมุนเวียนเฉลี่ยเท่ากับ  2,880 ลูกบาศก์เมตร/วัน (ที่มา : บริษัท เกษตรไทยอุตสาหกรรมน้ําตาล จํากัด, 2553) ซึ่งน้ําในส่วนนี้จะ นํามาใช้เฉพาะฤดูหีบอ้อย (150 วัน) และฤดูละลายน้ําตาล (45 วัน) เท่านั้น 
ดังนั้น จะมีปริมาณน้ําหมุนเวียนบําบัดปีละ = 2,880 ลูกบาศก์เมตร/วัน x (150 + 45 ) วัน   = 561,600 ลูกบาศก์เมตร  
2) น้ําดิบที่เพิ่มเข้าไปในระบบ (Add up) ซึ่งเป็นน้ําที่ใช้ในกระบวนการผลิต เช่น เป็นน้ํา ในหม้อไอน้ํา, หม้อต้ม,และหม้อเคี่ยว เป็นต้น โดยในแต่ละฤดูจะมีปริมาณที่ต่างกันดังนี้  
- ฤดูหีบอ้อยเกิดขึ้นในช่วงปลายเดือนพฤศจิกายน – เดือนเมษายน รวม 150 วัน มีการใช้ น้ําเฉลี่ย 11,790 ลูกบาศก์เมตร/วัน ดังนั้น มีการใช้น้ําทั้งหมด = 11,790 x 150  = 1,768,500 ลูกบาศก์เมตร  
- ฤดูละลายน้ําตาลเกิดขึ้นในช่วงเดือนพฤษภาคม – กลางเดือนมิถุนายน รวม 45 วัน มี การใช้น้ําเฉลี่ย 9,589 ลูกบาศก์เมตร/วัน ดังนั้น มีการใช้น้ําทั้งหมด = 9,589 x 45  = 431,505 ลูกบาศก์เมตร  
- ฤดูซ่อมแซมของโรงงานน้ําตาลเกิดขึ้นในช่วงกลางเดือนมิถุนายน – ปลายเดือน 
พฤศจิกายน รวม 170 วัน มีการใช้น้ําเฉลี่ย 512 ลูกบาศก์เมตร/วัน ดังนั้น มีการใช้น้ําทั้งหมด  
= 512 x 170  
= 87,040 ลูกบาศก์เมตร  
ดังนั้น จะมีการใช้น้ําดิบต่อปีทั้งหมด = 1,768,500 + 431,505 + 87,040  = 2,287,045 ลูกบาศก์เมตร  
(ที่มา : ข้อมูลปริมาณการใช้น้ําเฉลี่ย 3 ปีย้อนหลัง (ปี 2551– 2553) ของบริษัท เกษตรไทยอุตสาหกรรม น้ําตาล จํากัด)  
 ดังนั้น คงเหลือน้ําในบ่ออีก = 3,103,013.94 – 2,287,045   = 815,968.94 ลูกบาศก์เมตร"
